"year","country","value"
1927,"world",1
1928,"world",0
1929,"world",0
1930,"world",0
1931,"world",0
1932,"world",0
1933,"world",0
1934,"world",0
1935,"world",0
1936,"world",0
1937,"world",0
1938,"world",0
1939,"world",0
1940,"world",0
1941,"world",0
1942,"world",0
1943,"world",0
1944,"world",0
1945,"world",0
1946,"world",0
1947,"world",0
1948,"world",0
1949,"world",0
1950,"world",0
1951,"world",0
1952,"world",0
1953,"world",1
1954,"world",1
1955,"world",0
1956,"world",0
1957,"world",0
1958,"world",0
1959,"world",0
1960,"world",0
1961,"world",0
1962,"world",1
1963,"world",0
1964,"world",0
1965,"world",0
1966,"world",1
1967,"world",0
1968,"world",3
1969,"world",0
1970,"world",1
1971,"world",2
1972,"world",3
1973,"world",2
1974,"world",1
1975,"world",1
1976,"world",1
1977,"world",6
1978,"world",3
1979,"world",7
1980,"world",5
1981,"world",4
1982,"world",8
1983,"world",6
1984,"world",8
1985,"world",6
1986,"world",5
1987,"world",4
1988,"world",4
1989,"world",5
1990,"world",5
1991,"world",5
1992,"world",5
1993,"world",7
1994,"world",4
1995,"world",5
1996,"world",9
1997,"world",19
1998,"world",13
1999,"world",20
2000,"world",18
2001,"world",19
2002,"world",18
2003,"world",15
2004,"world",20
2005,"world",14
2006,"world",18
2007,"world",13
2008,"world",27
2009,"world",32
2010,"world",19
2011,"world",26
2012,"world",22
2013,"world",27
2014,"world",26
2015,"world",28
2016,"world",11